Date,Open,High,Low,Close,Adj Close,Volume
2010-01-27,2577.907959,2594.246094,2554.882080,2564.553955,2564.478027,2601013000
2010-01-28,2565.377930,2619.978027,2565.377930,2619.564941,2619.487305,3355153000
2010-01-29,2619.260986,2619.260986,2569.266113,2610.795898,2610.718506,2171198000
2010-02-01,2610.593018,2610.593018,2571.759033,2587.549072,2587.472168,3231962000
2010-02-02,2588.259033,2613.673096,2574.110107,2580.250977,2580.174561,3063307000
2010-02-03,2580.656006,2606.282959,2580.656006,2604.549072,2604.471680,3827196800
2010-02-04,2604.751953,2610.367920,2589.054932,2593.219971,2593.143066,3802638000
2010-02-05,2592.408936,2592.408936,2506.888916,2518.976074,2518.901367,3484292400
2010-02-08,2518.606934,2518.606934,2431.837891,2475.572021,2475.498535,3685071600
2010-02-09,2474.750000,2490.108887,2439.909912,2489.485107,2489.411377,3270474400
2010-02-10,2490.292969,2511.735107,2474.400879,2483.437988,2483.364258,2650155600
2010-02-11,2483.638916,2508.262939,2468.854004,2507.750977,2507.676758,4091696000
2010-02-12,2508.154053,2536.565918,2501.985107,2534.136963,2534.061768,3530855600
2010-02-15,2533.733887,2533.733887,2510.958984,2517.456055,2517.381348,1674367500
2010-02-16,2517.657959,2558.655029,2516.337891,2558.504883,2558.428955,2230198000
2010-02-17,2558.605957,2581.600098,2558.605957,2581.340088,2581.263672,3568042000
2010-02-18,2581.440918,2581.440918,2550.529053,2560.033936,2559.958008,2630467000
2010-02-19,2559.933105,2559.933105,2527.745117,2554.375977,2554.300049,2192541000
2010-02-22,2554.779053,2574.968994,2553.813965,2564.262939,2564.187012,1902848000
2010-02-23,2564.162109,2583.695068,2538.034912,2583.650879,2583.573975,3265587600
2010-02-24,2582.423096,2582.423096,2555.469971,2579.416016,2579.339600,4008322400
2010-02-25,2579.314941,2583.158936,2536.092041,2549.032959,2548.957275,2365084400
2010-03-01,2548.831055,2565.437012,2545.893066,2554.674072,2554.598145,1898505000
2010-03-02,2554.472900,2577.090088,2554.472900,2576.591064,2576.514648,2535062000
2010-03-03,2577.000977,2585.832031,2552.854004,2567.089111,2567.012939,3424541600
2010-03-04,2566.988037,2579.532959,2557.370117,2565.645020,2565.568848,2498741000
2010-03-05,2566.053955,2583.087891,2566.053955,2578.771973,2578.695557,2541829000
2010-03-08,2578.974121,2627.695068,2578.974121,2626.450928,2626.372803,2981361000
2010-03-09,2626.250000,2657.382080,2624.114990,2657.166992,2657.088135,3040865000
2010-03-10,2656.862061,2676.273926,2652.849121,2670.218994,2670.139648,3018129600
2010-03-11,2670.118896,2687.117920,2661.928955,2676.521973,2676.442627,4084708000
2010-03-12,2676.113037,2686.237061,2661.056885,2666.510986,2666.431885,5272403600
2010-03-15,2666.409912,2683.107910,2658.554932,2669.607910,2669.528809,2951809600
2010-03-17,2669.406982,2756.261963,2669.406982,2756.261963,2756.180176,6571927200
2010-03-18,2756.462891,2779.355957,2718.305908,2737.241943,2737.160645,6031141600
2010-03-19,2738.802979,2758.125977,2725.648926,2742.974121,2742.892578,3876427200
2010-03-22,2742.672119,2742.672119,2698.262939,2702.400879,2702.320557,3425104000
2010-03-23,2702.602051,2746.135010,2702.602051,2720.862061,2720.781250,2746669600
2010-03-24,2721.164063,2774.850098,2721.164063,2774.850098,2774.767578,3323997000
2010-03-25,2773.297119,2814.861084,2760.200928,2799.148926,2799.065918,4202231600
2010-03-26,2799.250000,2813.082031,2792.361084,2813.082031,2812.998535,4013816000
2010-03-29,2813.490967,2813.795898,2780.429932,2794.770996,2794.687988,4615284800
2010-03-30,2795.179932,2818.940918,2787.504883,2798.268066,2798.185059,4137396800
2010-03-31,2798.677002,2809.472900,2758.261963,2777.301025,2777.218506,4173624800
2010-04-01,2777.704102,2834.240967,2777.704102,2829.996094,2829.912109,4205110400
2010-04-05,2831.031006,2890.176025,2831.031006,2887.246094,2887.160400,4419232000
2010-04-06,2888.805908,2911.462891,2871.747070,2880.968994,2880.883545,8445811200
2010-04-07,2881.371094,2916.108887,2881.371094,2898.582031,2898.496094,6577803200
2010-04-08,2898.179932,2898.179932,2837.399902,2850.833984,2850.749268,5132381600
2010-04-09,2850.633057,2870.968994,2833.243896,2845.010986,2844.926758,4239328800
2010-04-12,2845.614014,2882.714111,2845.614014,2881.333008,2881.247559,5048496400
2010-04-13,2881.028076,2884.946045,2856.249023,2884.699951,2884.614258,4987644800
2010-04-14,2884.900879,2897.329102,2875.252930,2885.014893,2884.929199,5044260000
2010-04-15,2885.115967,2913.718018,2885.115967,2900.530029,2900.444092,5718624000
2010-04-16,2900.833984,2903.278076,2860.927002,2878.670898,2878.585449,3631203600
2010-04-19,2877.968018,2877.968018,2811.788086,2840.425049,2840.340820,3762312000
2010-04-20,2840.625977,2892.620117,2840.625977,2891.270020,2891.184082,4073594000
2010-04-21,2891.470947,2916.552002,2891.470947,2912.825928,2912.739502,6544607600
2010-04-22,2912.726074,2927.394043,2883.013916,2926.531982,2926.445068,5007344800
2010-04-23,2926.129883,2926.388916,2907.030029,2924.730957,2924.644043,3853774400
2010-04-26,2924.931885,2954.829102,2924.931885,2944.708984,2944.621582,4075000800
2010-04-27,2943.677002,2944.439941,2930.418945,2939.299072,2939.211914,4200866400
2010-04-28,2938.998047,2938.998047,2875.667969,2903.319092,2903.232910,5162426400
2010-04-29,2903.520020,2927.964111,2903.520020,2926.860107,2926.773193,6141513600
2010-04-30,2927.260986,2972.916992,2927.260986,2971.251953,2971.163818,5235455200
2010-05-03,2971.747070,2982.357910,2950.431885,2960.895020,2960.807129,4086931200
2010-05-04,2961.291016,2996.418945,2946.418945,2959.014893,2958.927246,3911546000
2010-05-05,2958.520020,2958.520020,2834.962891,2846.239014,2846.154541,6428435200
2010-05-06,2846.041016,2846.041016,2748.678955,2810.615967,2810.532471,4967408400
2010-05-07,2808.735107,2808.735107,2705.205078,2739.333008,2739.251709,3571070400
2010-05-10,2739.927002,2860.050049,2739.927002,2850.427002,2850.342285,5725906400
